customer_id,first_name,last_name,email,city,signup_date
1,Chinedu,Okafor,chinedu.okafor8@gmail.com,Ibadan,2024-08-07
2,Maryam,Adebayo,maryam.adebayo625@gmail.com,Lagos,2023-04-01
3,Kemi,Sule,kemi.sule867@gmail.com,Abuja,2024-09-20
4,Blessing,Nwankwo,blessing.nwankwo253@gmail.com,Abuja,2023-07-06
5,Fatima,Ibrahim,fatima.ibrahim692@gmail.com,Ibadan,2024-12-08
6,Chinedu,Bandele,,Lagos,2024-08-08
7,Temitope,Ibrahim,temitope.ibrahim303@gmail.com,Kano,2024-03-07
8,Blessing,Bandele,blessing.bandele639@gmail.com,Kano,2023-12-27
9,Blessing,Adeyemi,blessing.adeyemi56@gmail.com,Abuja,2023-05-15
10,Aisha,Sule,aisha.sule726@gmail.com,Lagos,2023-02-25
11,Fatima,Garba,fatima.garba526@gmail.com,lagos,2024-08-13
12,Tunde,Olawale,tunde.olawale474@gmail.com,Port Harcourt,2023-06-19
13,Chioma,Usman,chioma.usman28@gmail.com,Abuja,2024-06-21
14,Samuel,Adebayo,samuel.adebayo983@gmail.com,Abuja,2024-03-08
15,Zainab,Onyeka,zainab.onyeka78@gmail.com,Kano,2024-06-30
16,Chioma,Bandele,chioma.bandele216@gmail.com,Kano,2023-07-14
17,David,Sule,david.sule386@gmail.com,Kano,2023-09-21
18,Samuel,Mohammed,samuel.mohammed365@gmail.com,Port Harcourt,2024-02-29
19,Samuel,Ajayi,samuel.ajayi666@gmail.com,Kano,2024-06-17
20,Hauwa,Adeyemi,hauwa.adeyemi526@gmail.com,Lagos,2023-03-24
21,Ibrahim,Balogun,ibrahim.balogun699@gmail.com,Ibadan,2024-05-13
22,Chukwuemeka,Balogun,chukwuemeka.balogun312@gmail.com,Lagos,2023-11-22
23,Kemi,Obi,kemi.obi883@gmail.com,Lagos,2024-08-20
24,Kemi,Ajayi,kemi.ajayi7@gmail.com,Kano,2023-02-26
25,Temitope,Olawale,temitope.olawale3@gmail.com,Ibadan,2024-02-29
26,Samuel,Okafor,samuel.okafor623@gmail.com,Ibadan,2024-03-31
27,Maryam,Bandele,maryam.bandele919@gmail.com,Ibadan,2024-11-30
28,Tunde,Okoro,tunde.okoro750@gmail.com,Port Harcourt,2023-02-11
29,Emeka,Bandele,emeka.bandele363@gmail.com,Kano,2023-01-13
30,Temitope,Eze,temitope.eze751@gmail.com,Ibadan,2024-07-27
31,Chinedu,Sule,chinedu.sule508@gmail.com,Port Harcourt,2024-12-23
32,Oluwaseun,Ajayi,oluwaseun.ajayi274@gmail.com,Abuja,2024-07-12
33,Chinedu,Ibrahim,chinedu.ibrahim506@gmail.com,Abuja,2023-01-10
34,Daniel,Adebayo,daniel.adebayo806@gmail.com,Port Harcourt,2023-11-10
35,Aisha,Onyeka,aisha.onyeka739@gmail.com,Port Harcourt,2023-03-10
36,Abdul,Onyeka,abdul.onyeka883@gmail.com,Kano,2024-09-16
37,Daniel,Mohammed,daniel.mohammed15@gmail.com,Kano,2024-11-29
38,Oluwaseun,Adeyemi,oluwaseun.adeyemi192@gmail.com,Abuja,2023-01-27
39,Chioma,Balogun,chioma.balogun985@gmail.com,Ibadan,2023-05-23
40,Maryam,Adebayo,maryam.adebayo631@gmail.com,Abuja,2023-11-29
